Pepsic|A Peste : Revista de Psicanálise e Sociedade||A Peste, Rev. Psicanál. Soc.|apeste|2175-6104|1775-1851|2175-6104|Universidade de São Paulo e Pontifícia Universidade Católica de São Paulo
 Spain|A||a|psi|2173-4712||2173-4712|Colegio Oficial de Psicólogos de Madrid
Argentina|Mundo agrario||Mundo agrar.|magr|1515-5994||1515-5994|Centro de Estudios Histórico-Rurales|by-nc/4.0
Mexico|México y la cuenca del pacífico||Méx.cuenca pac|mcp|2007-5308||2007-5308|Universidad de Guadalajara, Centro Universitario de Ciencias Sociales y Humanidades, Departamento de Estudios del Pacífico|by-nc/3.0
Portugal|Nascer e Crescer - Revista do Hospital de Crianças Maria Pia||Nascer e Crescer|nas|0872-0754|0872-0754||Hospital de Crianças Maria Pia - Centro Hospitalar do Porto|by-nc/4.0
Pepsic|Natureza humana||Nat. hum.|nh|1517-2430|1517-2430||Sociedade Brasileira de Fenomenologia e Sociedade Brasileira de Psicanálise Winnicottiana
Brazil|Nauplius||Nauplius|nau|0104-6497|0104-6497|2358-2936|Sociedade Brasileira de Carcinologia|by/4.0
Spain|Nefrología (Madrid)||Nefrología (Madr.)|nefrologia|0211-6995|0211-6995||Sociedad Española de Nefrología
Brazil|Neotropical Entomology||Neotrop. entomol.|ne|1519-566X|1519-566X|1678-8052|Sociedade Entomológica do Brasil|by-nc/4.0
Brazil|Neotropical Ichthyology||Neotrop. ichthyol.|ni|1679-6225|1679-6225|1982-0224|Sociedade Brasileira de Ictiologia|by/4.0
Mexico|Neumología y cirugía de tórax||Neumol. cir. torax|nct|0028-3746|0028-3746||Sociedad Mexicana de Neumología y Cirugía de Tórax; Instituto Nacional de Enfermedades Respiratorias Ismael Cosío Villegas; Sociedad Cubana de Neumología; Sociedad Paraguaya de Neumología; Sociedad Boliviana de Neumología.|by-nc/3.0
Spain|Neurocirugía||Neurocirugía|neuro|1130-1473|1130-1473||Sociedad Española de Neurocirugía
Pepsic|Neuropsicologia Latinoamericana||Neuropsicologia Latinoamericana|rnl|2075-9479||2075-9479|Sociedad Latinoamericana de Neuropsicologia
Mexico|Norteamérica||Norteamérica|namerica|1870-3550|1870-3550||UNAM, Centro de Investigaciones sobre América del Norte|by-nc/3.0
Brazil|Nova Economia||Nova econ.|neco|0103-6351|0103-6351|1980-5381|Nova Economia|by/4.0
Mexico|Nova scientia||Nova scientia|ns|2007-0705||2007-0705|Universidad de La Salle Bajío A. C., Coordinación de Investigación|by-nc/3.0
Mexico|Nova tellus||Nova tellus|novatell|0185-3058|0185-3058||Universidad Nacional Autónoma de México, Instituto de Investigaciones Filológicas|by-nc/3.0
Colombia|Nova||Nova|nova|1794-2470|1794-2470||Universidad Colegio Mayor de Cundinamarca
Brazil|Novos Estudos - CEBRAP||Novos estud. - CEBRAP|nec|0101-3300|0101-3300|1980-5403|Centro Brasileiro de Análise e Planejamento|by-nc/4.0
Social Sciences|Novos Estudos - CEBRAP||Novos estud. - CEBRAP|s_nec|0101-3300|0101-3300||Editora Brasileira de Ciências Ltda|by-nc/4.0
Cuba|Nucleus||Nucleus|nuc|0864-084X|0864-084X|2075-5635|CUBAENERGIA|by-nc/4.0
Mexico|Nueva antropología||Nueva antropol|na|0185-0636|0185-0636||Nueva Antropología A.C.|by-nc/3.0
Spain|Nutrición Hospitalaria|Nutr Hosp|Nutr. Hosp.|nh|0212-1611|0212-1611||Sociedad Española de Nutrición Parenteral y Enteral
Colombia|Nómadas||Nómadas|noma|0121-7550|0121-7550||Universidad Central
Venezuela|Núcleo||Núcleo|nu|0798-9784|0798-9784||Universidad Central de Venezuela. Facultad de Humanidades
Chile|Obras y proyectos||Obras y Proyectos|oyp|0718-2813||0718-2813|Universidad Católica de la Santísima Concepción|by-nc/4.0
Portugal|Observatorio (OBS*)||OBS*|obs|1646-5954||1646-5954|OberCom|by-nc/4.0
Uruguay|Odontoestomatología||Odontoestomatología|ode|1688-9339||1688-9339|Facultad de Odontología - Universidad de la República|by-nc/4.0
South Africa|Old Testament Essays||Old testam. essays|ote|1010-9919|1010-9919|2312-3612|The Old Testament Society of Southern Africa (OTSSA)
Argentina|Olivar||Olivar|olivar|1852-4478||1852-4478|Centro de Teoría y Crítica Literaria, Facultad de Humanidades y Ciencias de la Educación, Universidad Nacional de La PLata|by-nc/4.0
Spain|Oncología (Barcelona)||Oncología (Barc.)|onco|0378-4835|0378-4835||Alpe Editores, S.A.
South Africa|Onderstepoort Journal of Veterinary Research||Onderstepoort j. vet. res.|ojvr|0030-2465|0030-2465|2219-0635|AOSIS Publishing|by-nc/4.0
Social Sciences|Opción (Maracaibo)||Opción (Maracaibo)|s_opcion|1012-1587|1012-1587||Universidad del Zulia|by-nc/4.0
Venezuela|Opción||Opcion|op|1012-1587|1012-1587||Universidad del Zulia
Brazil|Opinião Pública||Opin. Publica|op|0104-6276|0104-6276|1807-0191| Centro de Estudos de Opiniao Publica da Universidade Estadual de Campinas|by/4.0
Brazil|Organizações & Sociedade||Organ. Soc.|osoc|1984-9230||1984-9230|Escola de Administração da Universidade Federal da Bahia|by-nc/4.0
Argentina|Orientación y sociedad||Orientac. soc.|orisoc|1851-8893||1851-8893|Facultad de Psicología, Universidad Nacional de La Plata|by-nc/4.0
Colombia|ORINOQUIA||Orinoquia|rori|0121-3709||0121-3709|Instituto de Investigaciones de la Orinoquia Colombiana
Brazil|Paidéia (Ribeirão Preto)||Paidéia (Ribeirão Preto)|paideia|0103-863X|0103-863X|1982-4327|Universidade de São Paulo, Faculdade de Filosofia Ciências e Letras de Ribeirão Preto|by-nc/4.0
Pepsic|Paidéia (Ribeirão Preto)||Paidéia (Ribeirão Preto)|paideia|0103-863X|0103-863X||Universidade de São Paulo, Faculdade de Filosofia Ciências e Letras de Ribeirão Preto
Argentina|Palabra clave||Palabra clave|pacla|1853-9912||1853-9912|Facultad de Humanidades y Ciencias de la Educación, Universidad Nacional de La Plata|by-nc/4.0
Colombia|Palabra Clave||Palabra Clave|pacla|0122-8285|0122-8285||Universidad de La Sabana
Argentina|Pampa (Santa Fe)||Pampa|pampa|2314-0208||2314-0208|Ediciones UNL|by-nc/4.0
Brazil|Pandaemonium Germanicum||Pandaemonium ger.|pg|1982-8837||1982-8837|Universidade de São Paulo/Faculdade de Filosofia, Letras e Ciências Humanas/|by-nc/4.0
Colombia|Papel Politico||Pap.polit.|papel|0122-4409|0122-4409||Pontificia Universidad Javeriana
Mexico|Papeles de población||Pap. poblac|pp|1405-7425|1405-7425||Universidad Autónoma del Estado de México, Centro de Investigación y Estudios Avanzados de la Población|by-nc/3.0
Argentina|Papeles de trabajo - Centro de Estudios Interdisciplinarios en Etnolingüística y Antropología Socio-Cultural||Pap. trab. - Cent. Estud. Interdiscip. Etnolingüíst. Antropol. Soc.|paptra|1852-4508||1852-4508|Universidad Nacional de Rosario, Facultad de Humanidades y Artes, Centro Interdisciplinario de Estudios Etnolingüísticos y Antropológicos Sociales|by-nc/4.0
Argentina|Papers in physics||Pap. Phys.|pip|1852-4249||1852-4249|Paper in Physics.|by-nc/4.0
Brazil|Papéis Avulsos de Zoologia (São Paulo)||Pap. Avulsos Zool. (São Paulo)|paz|0031-1049|0031-1049|1807-0205|Museu de Zoologia da Universidade de São Paulo|by/4.0
Venezuela|Paradígma||Paradígma|pdg|1011-2251|1011-2251||Universidad Pedagogica Experimental Libertador
Chile|Parasitología al día||Parasitol. día|pd|0716-0720|0716-0720||Sociedad Chilena de Parasitología.<br/>Federación Latinoamericana de Parasitología<br/>|by-nc/4.0
Chile|Parasitología latinoamericana||Parasitol. latinoam.|parasitol|0717-7712||0717-7712|Sociedad Chilena de Parasitología|by-nc/4.0
Cuba|Pastos y Forrajes||Pastos y Forrajes|pyf|0864-0394|0864-0394|2078-8452|Estación Experimental de Pastos y Forrajes  "Indio Hatuey"|by-nc/4.0
Spain|Pediatría Atención Primaria||Rev Pediatr Aten Primaria|pap|1139-7632|1139-7632||Asociación Española de Pediatría de Atención Primaria
Colombia|Pensamiento & Gestión||Pensam. gest.|pege|1657-6276|1657-6276|2145-941X|Fundación Universidad del Norte - Barranquilla, Colombia.|by/4.0
Colombia|Pensamiento Psicológico||Pensam. psicol.|pepsi|1657-8961|1657-8961||Pontificia Universidad Javeriana, seccional Cali|by/4.0
Pepsic|Pensando familias||Pensando fam.|penf|1679-494X|1679-494X||DOMUS - Centro de Terapia de Casal e Família
Portugal|Penélope||Penélope|pen|0871-7486|0871-7486||Celta Editora
Mexico|Península||Península|peni|1870-5766|1870-5766||Universidad Nacional Autónoma de México, Centro Peninsular en Humanidades y Ciencias Sociales|by-nc/3.0
Brazil|Per Musi||Per musi|pm|1517-7599|1517-7599|2317-6377|Escola de Música da UFMG|by/4.0
South Africa|PER: Potchefstroomse Elektroniese Regsblad||PER|pelj|1727-3781||1727-3781|Publication of North-West University (Potchefstroom Campus)
Colombia|Perfil de Coyuntura Económica||Perf. de Coyunt. Econ.|pece|1657-4214|1657-4214||Grupo de Macroeconomía Aplicada, Universidad de Antioquia
Mexico|Perfiles educativos||Perfiles educativos|peredu|0185-2698|0185-2698||Universidad Nacional Autónoma de México, Instituto de Investigaciones sobre la Universidad y la Educación|by-nc/3.0
Mexico|Perfiles latinoamericanos||Perf. latinoam.|perlat|0188-7653|0188-7653||Facultad Latinoamericana de Ciencias Sociales, Sede Académica de México|by-nc/3.0
Mexico|Perinatología y reproducción humana||Perinatol. Reprod. Hum.|prh|0187-5337|0187-5337||Instituto Nacional de Perinatología|by-nc/3.0
Pepsic|Persona (Lima)||Persona (Lima)|persona|1560-6139|1560-6139||Universidad de Lima. Facultad de Psicología
Colombia|Persona y Bioética||pers.bioét.|pebi|0123-3122|2027-5382|0123-3122|Universidad de la Sabana
Pepsic|Perspectivas em análise do comportamento||Perspectivas|pac|2177-3548||2177-3548|Núcleo Paradigma de Análise do Comportamento
Brazil|Perspectivas em Ciência da Informação||Perspect. ciênc. inf.|pci|1413-9936|1413-9936|1981-5344|Escola de Ciência da Informação da UFMG|by/4.0
Colombia|Perspectivas en Nutrición Humana||Perspect Nut Hum|penh|0124-4108|0124-4108||Universidad de Antioquia
Argentina|Perspectivas en psicologia (Mar del Plata)||Perspect. psicol. (Mar del Plata)|pepsi|1668-7175|1668-7175||EUDEM. Editorial de la Universidad Nacional de Mar del Plata|by-nc/4.0
Pepsic|Perspectivas psicológicas||Perspect. psicol.|pp|1992-4690||1992-4690|Universidad Autónoma de Santo Domingo, Facultad de Humanidades, Departamento de Psicología
Colombia|Perífrasis. Revista de Literatura, Teoría y Crítica||perifrasis. rev.lit.teor.crit.|peri|2145-8987|2145-8987||Departamento de Humanidades y Literatura de la Universidad de los Andes
Brazil|Pesquisa Agropecuária Brasileira||Pesq. agropec. bras.|pab|0100-204X|0100-204X|1678-3921|Embrapa Informação Tecnológica|by-nc/4.0
Brazil|Pesquisa Agropecuária Tropical||Pesqui. Agropecu. Trop.|pat|1983-4063||1983-4063|Escola de Agronomia e Engenharia de Alimentos/UFG|by/4.0
Brazil|Pesquisa Odontológica Brasileira|Pesqui Odontol Bras.|Pesqui. Odontol. Bras.|pob|1517-7491|1517-7491||Sociedade Brasileira de Pesquisa Odontológica e Faculdade de Odontologia da Universidade de São Paulo|by-nc/4.0
Brazil|Pesquisa Operacional||Pesqui. Oper.|pope|0101-7438|0101-7438|1678-5142|Sociedade Brasileira de Pesquisa Operacional|by-nc/4.0
Brazil|Pesquisa Veterinária Brasileira||Pesq. Vet. Bras.|pvb|0100-736X|0100-736X|1678-5150|Colégio Brasileiro de Patologia Animal - CBPA|by-nc/4.0
Spain|Pharmacy Practice (Granada)||Pharmacy Pract (Granada)|pharmacy|1885-642X||1885-642X|Centro de Investigaciones y Publicaciones Farmacéuticas
Spain|Pharmacy Practice (Internet)||Pharmacy Practice (Internet)|pharmacin|1886-3655||1886-3655|Centro de Investigaciones y Publicaciones Farmacéuticas
South Africa|Phronimon||Phronimon|phronimon|1561-4018|1561-4018|2413-3086|The South African Society for Greek Philosophy and the Humanities (SASGPH)
Brazil|Physis: Revista de Saúde Coletiva|Physis|Physis|physis|0103-7331|0103-7331|1809-4481|IMS-UERJ|by-nc/4.0
Argentina|Phyton (Buenos Aires)||Phyton (B. Aires)|phyton|1851-5657||1851-5657|Fundación Rómulo Raggio|by-nc/4.0
Brazil|Planta Daninha||Planta daninha|pd|0100-8358|0100-8358|1806-9681|Sociedade Brasileira da Ciência das Plantas Daninhas|by-nc/4.0
Costa Rica|Población y Salud en Mesoamérica||PSM|psm|1659-0201||1659-0201|Universidad de Costa Rica. Centro Centroamericano de Población|by-nc/3.0
Argentina|Población y sociedad||Poblac. soc.|pys|1852-8562||1852-8562|Instituto Superior de Estudios Sociales|by-nc/4.0
Mexico|Polibits||Polibits|poli|1870-9044||1870-9044|Instituto Politécnico Nacional, Centro de Innovación y Desarrollo Tecnológico en Cómputo|by-nc/3.0
Mexico|Polibotánica||Polibotánica|polib|1405-2768|1405-2768||Instituto Politécnico Nacional, Escuela Nacional de Ciencias Biológicas|by-nc/3.0
Chile|Polis (Santiago)||Polis|polis|0718-6568||0718-6568|Universidad de Los Lagos Centro de Investigaciones Sociedad y Políticas Públicas - CISPO|by-nc/4.0
Mexico|Polis||Polis|polis|1870-2333|1870-2333||UAM, Unidad Iztapalapa, División de Ciencias Sociales y Humanidades, Departamento de Sociología|by-nc/3.0
Brazil|Polímeros||Polímeros|po|0104-1428|0104-1428|1678-5169|Associação Brasileira de Polímeros|by/4.0
Chile|Política criminal||Polít. crim.|politcrim|0718-3399||0718-3399|Universidad de Talca|by-nc/4.0
Mexico|Política y cultura||Polít. cult.|polcul|0188-7742|0188-7742||Universidad Autónoma Metropolitana, Unidad Xochimilco|by-nc/3.0
Mexico|Política y gobierno||Polít. gob|pyg|1665-2037|1665-2037||Centro de Investigación y Docencia Económicas, División de Estudios Políticos|by-nc/3.0
Portugal|Portugaliae Electrochimica Acta||Port. Electrochim. Acta|pea|0872-1904|0872-1904||Sociedade Portuguesa de Electroquímica|by-nc/4.0
Portugal|Portuguese Journal of Nephrology & Hypertension||Port J Nephrol Hypert|nep|0872-0169|0872-0169||Sociedade Portuguesa de Nefrologia|by-nc/4.0
Argentina|Postdata||Postdata|postdata|1851-9601||1851-9601|Grupo Interuniversitario Postdata|by-nc/4.0
Argentina|Praxis educativa||Prax. educ.|praxis|0328-9702||0328-9702|UNLPam|by-nc/4.0
Colombia|Praxis Filosófica||Prax. filos.|pafi|0120-4688|0120-4688||Universidad del Valle
Argentina|Prismas||Prismas|prismas|1852-0499||1852-0499|Centro de Historia Intelectual, Departamento de Ciencias Sociales, Universidad Nacional de Quilmes|by-nc/4.0
Brazil|Pro-Posições||Pro-Posições|pp|0103-7307|0103-7307|1980-6248|UNICAMP - Faculdade de Educação|by-nc/4.0
Mexico|Problemas del desarrollo||Prob. Des|prode|0301-7036|0301-7036||Universidad Nacional Autónoma de México, Instituto de Investigaciones Económicas|by-nc/3.0
Colombia|Producción + Limpia||Rev. P+L|pml|1909-0455|1909-0455||Corporación Universitaria Lasallista
Brazil|Production||Prod.|prod|0103-6513|0103-6513|1980-5411|Associação Brasileira de Engenharia de Produção|by/4.0
Colombia|Profile Issues in Teachers` Professional Development||profile|prf|1657-0790|1657-0790||Departamento de Lenguas Extranjeras, Universidad Nacional de Colombia.|by/4.0
Argentina|Prohistoria||Prohistoria|prohist|1851-9504||1851-9504|Grupo Prohistoria|by-nc/4.0
Argentina|Propuesta educativa||Propuesta educativa (Online)|pe|1995-7785||1995-7785|Facultad Latinoamericana de Ciencias Sociales - Sede Académica Argentina|by-nc/4.0
Colombia|Prospectiva||Prospect.|prosp|1692-8261|1692-8261||Universidad Autónoma del Caribe, Facultad de Ingeniería
Chile|Proyecciones (Antofagasta)||Proyecciones (Antofagasta)|proy|0716-0917|0716-0917||Universidad Católica del Norte, Departamento de Matemáticas|by-nc/4.0
Brazil|Pró-Fono Revista de Atualização Científica||Pró-Fono R. Atual. Cient.|pfono|0104-5687|0104-5687||Pró-Fono Produtos Especializados para Fonoaudiologia Ltda.|by-nc/4.0
Pepsic|Psic: revista da Vetor Editora||Psic|psic|1676-7314|1676-7314||Vetor Editora Psico-Pedagógica
Pepsic|Psicanalítica||Psicanal.|psica|1679-074X|1679-074X||Sociedade Psicanalítica do Rio de Janeiro
Pepsic|Psicanálise e Universidade||Psicanál. univ.|psiu|1413-0556|1413-0556||Pontifícia Universidade Católica de São Paulo
Pepsic|Psico||Psico (Porto Alegre)|psico|0103-5371|0103-5371||Faculdade de Psicologia da PUCRS
Brazil|Psico-USF||Psico-USF|pusf|1413-8271|1413-8271|2175-3563|Universidade de São Francisco, Programa de Pós-Graduação Stricto Sensu em Psicologia|by/4.0
Brazil|Psicologia & Sociedade||Psicol. Soc.|psoc|0102-7182|0102-7182|1807-0310|Associação Brasileira de Psicologia Social|by-nc/4.0
Pepsic|Psicologia & Sociedade||Psicol. Soc.|psoc|0102-7182|0102-7182||Associação Brasileira de Psicologia Social
Brazil|Psicologia Clínica||Psicol. clin.|pc|0103-5665|0103-5665|1980-5438|Departamento de Psicologia da Pontifícia Universidade Católica do Rio de Janeiro|by-nc/4.0
Pepsic|Psicologia Clínica||Psicol. clin.|pc|0103-5665|0103-5665||Departamento de Psicologia da Pontifícia Universidade Católica do Rio de Janeiro
Pepsic|Psicologia da Educação||Psicol. educ.|psie|1414-6975|1414-6975|2175-3520|Pontifícia Universidade Católica de São Paulo. Programa de Estudos Pos-Graduados em Psicolgia Educação
Brazil|Psicologia em Estudo||Psicol. estud.|pe|1413-7372|1413-7372|1807-0329|Departamento de Psicologia - Universidade Estadual de Maringá|by-nc/4.0
Pepsic|Psicologia em Pesquisa||Psicol. pesq.|psipesq|1982-1247||1982-1247|Departamento de Psicologia  da Universidade Federal de Juiz de Fora
Pepsic|Psicologia em Revista||Psicol. rev. (Belo Horizonte)|per|1677-1168|1677-1168||Pontifícia Universidade Católica de Minas Gerais. Instituto de Psicologia. Pró-Reitoria de Extensão|by-nc/4.0
Pepsic|Psicologia Ensino & Formação||Psicol. Ensino & Form.|pef|2177-2061|2177-2061||Associação Brasileira de Ensino de Psicologia|by-nc/4.0
Brazil|Psicologia Escolar e Educacional||Psicol. Esc. Educ.|pee|1413-8557|1413-8557|2175-3539|Associação Brasileira de Psicologia Escolar e Educacional (ABRAPEE)|by/4.0
Pepsic|Psicologia Escolar e Educacional||Psicol. esc. educ.|pee|1413-8557|1413-8557||Associação Brasileira de Psicologia Escolar e Educacional
Pepsic|Psicologia Hospitalar||Psicol. hosp. (São Paulo)|ph|1677-7409|1677-7409||Centro de Estudos Psicologia da Saúde e Divisão de Psicologia ICHCFMUSP
Pepsic|Psicologia para América Latina||Psicol. Am. Lat.|psilat|1870-350X||1870-350X|Unión Latinoamericana de Entidades de Psicología (ULAPSI)|by-nc/4.0
Pepsic|Psicologia Revista||Psic. rev.|psir|1413-4063|1413-4063||Pontifícia Universidade Católica de São Paulo
Brazil|Psicologia USP||Psicol. USP|pusp|0103-6564|0103-6564|1678-5177|Instituto de Psicologia da Universidade de São Paulo|by-nc/4.0
Pepsic|Psicologia USP||Psicol. USP|psicousp|1678-5177||1678-5177|Instituto de Psicologia da Universidade de São Paulo
Portugal|Psicologia||Psicologia|psi|0874-2049|0874-2049||Associação Portuguesa de Psicologia (APP)|by-nc/4.0
Portugal|Psicologia, Saúde & Doenças||Psic., Saúde & Doenças|psd|1645-0086|1645-0086||Sociedade Portuguesa de Psicologia da Saúde|by-nc/4.0
Brazil|Psicologia: Ciência e Profissão||Psicol. cienc. prof.|pcp|1414-9893|1414-9893|1982-3703|Conselho Federal de Psicologia|by/4.0
Pepsic|Psicologia: ciência e profissão||Psicol. cienc. prof.|pcp|1414-9893|1414-9893||Conselho Federal de Psicologia
Pepsic|Psicologia: pesquisa e trânsito||Psicol. pesqui. transito|ppet|1808-9100|1808-9100||Vetor Editora Psico-Pedagógica
Brazil|Psicologia: Reflexão e Crítica||Psicol. Reflex. Crit.|prc|0102-7972|0102-7972|1678-7153|Curso de Pós-Graduação em Psicologia da Universidade Federal do Rio Grande do Sul|by-nc/4.0
Pepsic|Psicologia: Reflexão e Crítica||Psicol. Reflex. Crit.|prc|0102-7972|0102-7972||Curso de Pós-Graduação em Psicologia da Universidade Federal do Rio Grande do Sul|by-nc/4.0
Brazil|Psicologia: Teoria e Pesquisa||Psic.: Teor. e Pesq.|ptp|0102-3772|0102-3772|1806-3446|Instituto de Psicologia, Universidade de Brasília|by-nc/4.0
Pepsic|Psicologia: teoria e prática||Psicol. teor. prat.|ptp|1516-3687|1516-3687||Universidade Presbiteriana Mackenzie
Pepsic|Psicologo informacao||Psicol inf.|psicoinfo|1415-8809|1415-8809||Universidade Metodista de Sao Paulo, Curso de Psicologia
Colombia|Psicología desde el Caribe||Psicol. caribe|psdc|0123-417X|0123-417X|2011-7485|Fundación Universidad del Norte|by/4.0
Pepsic|Psicología desde el Caribe||Psicol. Caribe|pdc|0123-417X|0123-417X||Universidad del Norte
Uruguay|Psicología, Conocimiento y Sociedad||Psicol. Conoc. Soc.|pcs|1688-7026||1688-7026|Facultad de Psicología. Universidad de la República|by/4.0
Pepsic|Psicoperspectivas (Valparaíso. En línea)||Psicoperspectivas (Valpso., En línea)|psicope|0718-6924||0718-6924|Pontificia Universidad Católica de Valparaíso. Escuela de Psicología, Facultad de Filosofía y Educación
Chile|Psicoperspectivas||Psicoperspectivas|psicop|0718-6924||0718-6924|Pontificia Universidad Católica de Valparaíso, Escuela de Psicología|by/4.0
Pepsic|PsicoUSF||PsicoUSF|psicousf|1413-8271|1413-8271||Universidade São Francisco
Colombia|Psychologia. Avances de la Disciplina||Psychol. av. discip.|psych|1900-2386||1900-2386|Universidad San Buenaventura
Brazil|Psychology & Neuroscience||Psychol. Neurosci.|pn|1983-3288||1983-3288|Pontificia Universidade Católica do Rio de Janeiro|by/4.0
Pepsic|Psychology & Neuroscience||Psychol. Neurosci. (Online)|pn|1983-3288||1983-3288|Pontifícia Universidade Católica do Rio de Janeiro,  Universidade de São Paulo e Universidade de Brasília|by-nc/4.0
South Africa|Psychology in Society||Psychol. Soc.|pins|1015-6046|1015-6046|2309-8708|Psychology in Society
Portugal|Psychology, Community & Health||PCH|pch|2182-438X||2182-438X|Psychology and Health Research Unit - UIPES, PT|by/4.0
Spain|Psychosocial Intervention||Psychological Intervention|inter|1132-0559|1132-0559||Colegio Oficial de Psicólogos de Madrid
Pepsic|Psychê||Psyche (Sao Paulo)|psyche|1415-1138|1415-1138||Centro de Estudos e Pesquisa em Psicanálise da Universidade São Marcos
Chile|Psykhe (Santiago)||Psykhe|psykhe|0718-2228||0718-2228|Pontificia Universidad Católica de Chile|by/4.0
Pepsic|Pulsional Revista de Psicanálise||Pulsional rev. psicanál.|pulsional|1517-5316|1517-5316||Livraria Pulsional
Bolivia|Punto Cero||Punto Cero|rpc|1815-0276||1815-0276|Carrera de Ciencias de la Comunicación Social - Universidada Católica Boliviana San Pablo Cochabamba|by-nc-sa/4.0
Uruguay|Páginas de Educación||Pág. Educ.|pe|1688-7468||1688-7468|Universidad Católica del Uruguay. Facultad de Ciencias Humanas|by/4.0
Argentina|Páginas de Filosofía||Pág. de Filosofía|pafil|1853-7960||1853-7960|Departamento de Filosofía, Facultad de Humanidades, Universidad Nacional del Comahue|by-nc/4.0
Argentina|Quebracho (Santiago del Estero)||Quebracho (Santiago del Estero)|quebra|1851-3026||1851-3026|Universidad Nacional de Santiago del Estero. Facultad de Ciencias Forestales|by-nc/4.0
Argentina|Quinto sol||Quinto sol|quisol|1851-2879||1851-2879|Instituto de Estudios Socio-Históricos. Facultad de Ciencias Humanas. Universidad Nacional de La Pampa|by-nc/4.0
Brazil|Química Nova||Quím. Nova|qn|0100-4042|0100-4042|1678-7064|Sociedade Brasileira de Química|by-nc/4.0
Brazil|Radiologia Brasileira||Radiol Bras|rb|0100-3984|0100-3984|1678-7099|Colégio Brasileiro de Radiologia e Diagnóstico por Imagem|by/4.0
Brazil|RAE eletrônica||RAE electron.|raeel|1676-5648||1676-5648|Fundação Getulio Vargas/Escola de Administração de Empresas de São Paulo|by-nc/4.0
Brazil|RAM. Revista de Administração Mackenzie||RAM, Rev. Adm. Mackenzie|ram|1678-6971||1678-6971|Universidade Presbiteriana Mackenzie|by/4.0
Spain|RCOE||RCOE|rcoe|1138-123X|1138-123X||Ilustre Consejo General de Colegios de Odontólogos y Estomatólogos de España
Brazil|REAd. Revista Eletrônica de Administração (Porto Alegre)||REAd. Rev. eletrôn. adm. (Porto Alegre)|read|1413-2311||1413-2311|Escola de Administração da UFRGS|by-nc/4.0
Mexico|REB. Revista de educación bioquímica||Rev. educ. bioquím|reb|1665-1995|1665-1995||Asociación Mexicana de Profesores de Bioquímica, A.C.|by-nc/3.0
Argentina|Redes||Redes|redes|1851-7072|1851-7072|0328-3186|Instituto de Estudios Sociales de la Ciencia y la Tecnología, Universidad Nacional de Quilmes|by-nc/4.0
Mexico|Región y sociedad||Región y sociedad|regsoc|1870-3925|1870-3925||El Colegio de Sonora|by-nc/3.0
Mexico|Relaciones (Zamora)||Relaciones (Zamora)|rz|0185-3929|0185-3929||El Colegio de Michoacán|by-nc/3.0
Social Sciences|Relaciones Internacionales||Relac. int. (B. Aires)|s_iri|1515-3371|1515-3371||Instituto de Relaciones Internacionales|by-nc/4.0
Portugal|Relações Internacionais (R:I)||Relações Internacionais|ri|1645-9199|1645-9199||IPRI-UNL e Tinta da China|by-nc/4.0
Brazil|Religião & Sociedade||Relig. soc.|rs|0100-8587|0100-8587|1984-0438|Instituto de Estudos da Religião|by-nc/4.0
Social Sciences|Religião & Sociedade||Relig. soc.|s_rs|0100-8587|0100-8587||Instituto de Estudos da Religião (ISER)|by-nc/4.0
Brazil|Rem: Revista Escola de Minas||Rem: Rev. Esc. Minas|rem|0370-4467|0370-4467|1807-0353|Escola de Minas|by/4.0
Brazil|REMHU : Revista Interdisciplinar da Mobilidade Humana||REMHU, Rev. Interdiscip. Mobil. Hum.|remhu|1980-8585|1980-8585|2237-9843|Centro Scalabriniano de Estudos Migratórios|by-nc/4.0
Brazil|Research on Biomedical Engineering||Res. Biomed. Eng.|reng|2446-4740||2446-4740|Sociedade Brasileira de Engenharia Biomédica|by/4.0
Pepsic|Reverso||Reverso|reverso|0102-7395|0102-7395||Círculo Psicanalítico de Minas Gerais|by-nc/4.0
Portugal|Revista :Estúdio||Estúdio|est|1647-6158|1647-6158||Universidade de Lisboa|by/4.0
Mexico|Revista ALCONPAT||Rev. ALCONPAT|ralconpat|2007-6835||2007-6835| Asociación Latinoamericana de Control de Calidad, Patología y Recuperación de la Construcción, A. C.|by-nc-nd/3.0
Brazil|Revista Ambiente & Água||Rev. Ambient. Água|ambiagua|1980-993X||1980-993X|Instituto de Pesquisas Ambientais em Bacias Hidrográficas|by/4.0
Argentina|Revista americana de medicina respiratoria||Rev. am. med. respir.|ramer|1852-236X||1852-236X|Asociación Argentina de Medicina Respiratoria|by-nc/4.0
Spain|Revista Andaluza de Medicina del Deporte||Rev Andal Med Deporte|ramd|1888-7546|1888-7546||Centro Andaluz de Medicina del Deporte
Cuba|Revista Archivo Médico de Camagüey||AMC|amc|1025-0255||1025-0255|Editorial Ciencias Médicas Camagüey|by-nc/4.0
Argentina|Revista argentina de antropología biológica||Rev Arg Antrop Biol|raab|1514-7991||1514-7991|Asociación de Antropología Biológica Argentina|by-nc/4.0
Argentina|Revista argentina de cardiología||Rev. argent. cardiol.|rac|1850-3748||1850-3748|Sociedad Argentina de Cardiología|by-nc/4.0
Argentina|Revista Argentina de Ciencias del Comportamiento||Rev Arg Cs Comp.|radcc|1852-4206||1852-4206|Revista Argentina de Ciencias del Comportamiento|by-nc/4.0
